Date,BIRD ID,Weight
29/11/2009,4H-48837,39.8
01/12/2009,4H-48719,44.6
01/12/2009,4H-48753,44.9
02/12/2009,4H-48726,46
02/12/2009,4H-48742,41.5
02/12/2009,4H-48979,42
02/12/2009,4H-39192,42.4
02/12/2009,4H-48851,41.2
02/12/2009,4H-39178,45.9
02/12/2009,4H-48769,41.3
02/12/2009,4H-39160,45.4
03/12/2009,4H-48852,
03/12/2009,4H-48853,
03/12/2009,4H-48768,
07/12/2009,4H-48967,49.4
07/12/2009,4H-48985,42.7
07/12/2009,4H-39182,47
09/12/2009,4H-39143,31.5
22/11/2009,4H-48797,
22/11/2009,4H-48798,
25/11/2009,4H-48875,45
08/12/2009,4H-48745,44.6
08/12/2009,4H-48952,42.1
08/12/2009,4H-39179,47.9
08/12/2009,4H-48772,43.2
08/12/2009,4H-48746,42.5
08/12/2009,4H-48953,46.5
08/12/2009,4H-48951,44.2
09/12/2009,4H-48950,49.9
11/12/2009,4H-48708,42.5
11/12/2009,4H-48849,41.8
16/12/2009,4H-48726,47.3
16/12/2009,4H-48766,46.7
16/12/2009,4H-48742,42.7
16/12/2009,4H-48979,42.9
16/12/2009,4H-39168,45
16/12/2009,4H-48717,42.5
16/12/2009,4H-48734,45.3
16/12/2009,4H-48779,41.6
16/12/2009,4H-39132,42.5
16/12/2009,4H-48942,45.6
17/12/2009,4H-48727,
17/12/2009,4H-48834,43.2
17/12/2009,4H-48765,42.2
17/12/2009,4H-48993,44.5
17/12/2009,4H-48840,41.5
17/12/2009,4H-48706,43
18/12/2009,4H-48965,42.5
18/12/2009,4H-48854,
18/12/2009,4H-48848,
18/12/2009,4H-48992,
19/12/2009,4H-48959,
19/12/2009,4H-48732,
19/12/2009,4H-39194,
19/12/2009,4H-48733,
19/12/2009,4H-48825,
19/12/2009,4H-48967,
19/12/2009,4H-48872,
19/12/2009,4H-48968,
19/12/2009,4H-48871,
19/12/2009,4H-48985,
14/12/2009,4H-48769,43.1
14/12/2009,4H-48828,41.1
14/12/2009,4H-48753,45.3
20/12/2009,4H-39186,43.8
20/12/2009,4H-48747,39.4
20/12/2009,4H-48851,42.4
23/12/2009,4H-48852,
27/12/2009,4H-48744,45.9
27/12/2009,4H-39159,47.9
27/12/2009,4H-48962,43.8
27/12/2009,4H-48728,49.1
27/12/2009,4H-48843,42.3
27/12/2009,4H-48808,45.1
27/12/2009,4H-48997,43.2
27/12/2009,4H-48996,43.6
27/12/2009,4H-48926,41.4
28/12/2009,4H-48930,
28/12/2009,4H-48826,43.9
28/12/2009,4H-39163,50.2
28/12/2009,4H-48995,45.5
28/12/2009,4H-39153,45.6
28/12/2009,4H-39143,42.8
28/12/2009,4H-48876,33.7
28/12/2009,4H-48771,41.5
28/12/2009,4H-48988,42.1
28/12/2009,4H-48796,46.4
30/12/2009,4H-48989,45.1
30/12/2009,4H-48831,44.4
30/12/2009,4H-48987,48.4
30/12/2009,4H-48761,46.9
30/12/2009,4H-48915,45.9
03/01/2010,4H-48833,51
03/01/2010,4H-48994,46.2
03/01/2010,4H-48778,44.1
03/01/2010,4H-48832,50
03/01/2010,4H-39156,54.7
04/01/2010,4H-48964,44.8
05/01/2010,4H-48965,40.4
05/01/2010,4H-48964,
05/01/2010,4H-39186,42
04/01/2010,4H-48845,47.2
